Pintu Masuk,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - 2017 (Kunjungan)",,,,,,,,,,,
,2014,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Soekarno-Hatta,187123,180362,194720,180787,184534,208624,169135,218903,174169,177274,180208,190598
Ngurah Rai,278685,269367,268418,277925,285965,329654,358907,336628,352017,339200,293858,341111
Kualanamu,19029,17780,18493,15956,19781,19376,16579,16901,17792,20946,22848,29243
Batam,119054,97445,122019,111929,115323,140218,101996,111455,113090,126169,123505,171907
Sam Ratulangi,1694,1079,1340,1079,1365,1487,1652,1854,1652,1642,943,1492
Juanda,16870,16476,18776,19145,20299,18685,16174,18239,17124,17997,18324,19084
Entikong,1535,1609,1699,1430,1785,1703,2488,1568,1445,1731,1936,3535
Adi Sumarmo,774,803,1114,1029,1692,1042,1125,1399,1258,1122,853,700
Minangkabau,5497,2889,4327,3916,4573,3779,3926,3364,3857,3515,3990,6563
Tanjung Priok,5496,4867,8767,5182,5594,4892,4458,4902,4248,5287,5915,5333
Tanjung Pinang,8236,6132,9057,8227,8041,9773,7149,8589,7327,6716,7818,10607
Bandara Internasional Lombok,5105,4862,5987,5413,6499,6071,6582,7259,6532,5438,3748,6385
Hasanuddin,1707,1213,1159,1241,1124,1134,1106,1625,1389,1279,1337,1399
Sepinggan,963,1089,1244,1106,1074,1425,848,1265,1125,1141,1015,861
Sultan Syarif Kasim II,2399,2117,2130,1907,2502,2247,1713,1823,1912,2334,2776,3522
Adi Sucipto,8855,6132,8234,7569,8679,7061,5394,8488,5221,7932,7172,8419
Husein Sastranegara,16257,14560,21463,13490,14588,16899,6166,10545,14068,15018,16539,20799
Tanjung Uban,28811,25090,27009,24205,22204,30867,31102,31388,23661,25882,22733,27909
Tanjung Balai Karimun,8329,8388,8945,7621,8731,10074,6343,7545,7777,8164,7938,10927
"Wisman Khusus (wisman lansia, rohaniawan, diklat, riset, dll)",-,-,-,-,-,-,-,-,-,-,-,-
Pos Lintas Batas (PLB),-,-,-,-,-,-,-,-,-,-,-,-
Lainnya,36660,40406,40706,37175,38010,36464,34367,33081,35632,39980,41005,54940
Total,753079,702666,765607,726332,752363,851475,777210,826821,791296,808767,764461,915334
